code,model,p,prompt,answer
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",1.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
A137,google/gemini-2.5-pro,0,"I’d like you to draw from a biased deck that returns “2” 0.0% of the time, “1"" 40% of the time and “0” 60.0% of the time. Please return a 1 token response simulating a single draw.",0.0
